basis_hedge_ratio,realized_midland_basis,physical_revenue,flat_futures_pnl,basis_swap_pnl,total_revenue,benchmark_locked_revenue,residual_revenue_risk
0.00,1.00,6100000.00,1500000.00,0.00,7600000.00,7400000.00,200000.00
0.00,0.00,6000000.00,1500000.00,0.00,7500000.00,7400000.00,100000.00
0.00,-1.00,5900000.00,1500000.00,0.00,7400000.00,7400000.00,0.00
0.00,-3.00,5700000.00,1500000.00,0.00,7200000.00,7400000.00,-200000.00
0.00,-5.00,5500000.00,1500000.00,0.00,7000000.00,7400000.00,-400000.00
0.00,-10.00,5000000.00,1500000.00,0.00,6500000.00,7400000.00,-900000.00
0.50,1.00,6100000.00,1500000.00,-100000.00,7500000.00,7400000.00,100000.00
0.50,0.00,6000000.00,1500000.00,-50000.00,7450000.00,7400000.00,50000.00
0.50,-1.00,5900000.00,1500000.00,0.00,7400000.00,7400000.00,0.00
0.50,-3.00,5700000.00,1500000.00,100000.00,7300000.00,7400000.00,-100000.00
0.50,-5.00,5500000.00,1500000.00,200000.00,7200000.00,7400000.00,-200000.00
0.50,-10.00,5000000.00,1500000.00,450000.00,6950000.00,7400000.00,-450000.00
1.00,1.00,6100000.00,1500000.00,-200000.00,7400000.00,7400000.00,0.00
1.00,0.00,6000000.00,1500000.00,-100000.00,7400000.00,7400000.00,0.00
1.00,-1.00,5900000.00,1500000.00,0.00,7400000.00,7400000.00,0.00
1.00,-3.00,5700000.00,1500000.00,200000.00,7400000.00,7400000.00,0.00
1.00,-5.00,5500000.00,1500000.00,400000.00,7400000.00,7400000.00,0.00
1.00,-10.00,5000000.00,1500000.00,900000.00,7400000.00,7400000.00,0.00
